District,Population,Area,Pop_per_km2
Bemowo,125119,24.9,5025
Bialoleka,129106,73,1769
Bielany,131592,32.3,4074
Mokotow,218265,35.4,6166
Ochota,82484,9.7,8504
Praga Polnoc,63481,11.4,5569
Praga Poludnie,180789,22.4,8071
Rembertow,24513,19.3,1270
Srodmiescie,113713,15.5,7336
Targowek,124992,24.3,5144
Ursus,61312,9.3,6593
Ursynow,151304,48.6,3113
Wawer,78244,79.7,982
Wesola,25798,22.6,1142
Wilanow,42134,36.7,1148
Wlochy,43613,28.6,1525
Wola,141407,19.2,7365
Zoliborz,52792,8.5,6211
